white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
a,1,b,3,c,2,draw
a,1,c,1,c,2,draw
a,1,c,1,d,1,draw
a,1,c,1,d,,draw
a,1,c,2,c,1,draw
a,1,c,2,c,,draw
a,1,c,2,d,1,draw
a,1,c,2,d,,draw
a,1,c,2,d,3,draw
a,1,c,,c,2,
a,1,c,3,d,2,draw
a,1,c,3,d,3,draw
a,1,,3,d,4,draw
,1,c,4,d,3,draw
a,1,,1,c,1,draw
a,1,d,1,c,2,draw
a,1,d,1,d,2,draw
a,1,d,1,,1,draw
a,1,d,1,,2,draw
a,1,d,,,1,draw
a,1,d,2,c,2,draw
a,1,d,2,c,3,draw
,1,d,2,d,1,
a,1,d,2,d,3,draw
a,1,d,2,e,1,draw
a,,d,2,e,2,draw
a,1,d,2,e,3,draw
a,1,d,3,,2,draw
a,1,d,3,c,3,draw
a,1,d,3,d,2,draw
a,1,d,3,d,4,draw
a,1,d,3,e,2,
a,1,d,3,e,3,draw
a,1,d,3,,4,draw
a,1,d,4,c,3,draw
a,1,d,4,d,3,draw
a,1,d,4,e,3,draw
a,1,d,4,e,4,draw
a,1,d,4,e,5,draw
,1,d,5,e,,draw
a,1,e,1,d,1,draw
a,1,e,1,d,2,draw
,1,e,1,e,2,draw
a,1,e,1,f,1,draw
a,1,e,1,f,2,draw
a,1,e,2,d,,draw
a,,,2,d,2,draw
a,,e,2,d,3,draw
a,1,e,2,e,1,draw
a,1,e,2,e,3,draw
a,1,e,2,f,1,draw
a,1,e,2,f,2,draw
a,1,e,2,f,3,draw
a,,e,3,d,2,
a,1,e,,d,3,
,,e,3,d,4,draw
a,1,,3,e,2,
a,1,,3,e,4,draw
a,1,e,3,f,2,draw
a,,e,,f,3,draw
a,1,e,3,f,4,draw
a,1,e,4,d,,draw
a,1,e,4,d,4,draw
a,1,e,4,e,,
a,1,e,4,e,,draw
a,1,e,4,f,3,draw
a,1,e,4,f,4,draw
a,1,e,4,f,5,draw
a,1,e,5,d,4,draw
a,1,e,5,e,4,draw
a,1,e,5,f,4,draw
a,1,e,5,f,5,draw
a,1,e,5,f,6,draw
a,1,,6,f,5,draw
a,1,f,1,e,1,draw
a,1,f,,e,2,draw
a,1,f,1,,2,draw
a,1,f,1,g,1,draw
a,1,f,1,g,2,draw
a,1,f,2,e,1,draw
a,1,f,2,e,2,draw
a,1,f,2,e,3,draw
a,1,f,2,f,1,draw
a,1,f,2,f,3,draw
a,1,f,,g,1,draw
a,1,,2,g,,draw
a,,f,2,g,3,
a,1,f,3,e,2,draw
a,1,f,3,e,3,draw
a,1,f,3,e,4,draw
,1,f,3,f,2,draw
a,,f,3,f,4,draw
a,,f,3,,,draw
a,1,f,3,,3,draw
a,1,,3,g,4,draw
a,1,f,4,e,3,draw
a,1,f,4,,4,
a,1,f,4,e,5,draw
a,1,f,4,f,3,draw
,1,f,4,,5,draw
a,1,f,4,g,3,draw
a,1,f,4,g,4,draw
a,1,f,4,g,5,
a,1,f,,e,4,draw
a,1,,5,e,5,
a,1,f,5,f,4,draw
a,1,f,,f,6,draw
a,1,f,5,g,4,draw
a,1,f,5,g,5,draw
a,1,f,5,g,6,draw
a,1,f,6,,5,draw
a,1,f,6,f,5,draw
a,1,f,6,g,5,draw
a,1,f,6,g,6,draw
a,1,f,6,g,7,draw
a,1,f,7,g,,draw
a,1,g,1,f,1,draw
a,1,g,1,f,2,draw
a,1,g,1,g,2,draw
a,1,g,1,h,1,draw
a,1,g,1,h,2,draw
